               #Throat_ID        Throat_Radius(mic)        Throat_Length(mic)                 Pore_ID_1                 Pore_ID_2      Hydrolic_Cond(mic^3)   Throat_Radius_Insc(mic) 
                      121                   6.90166                  57.58314                       100                        86                  15.84961                   7.07107 
                      122                   2.81610                  53.10082                       100                        87                   0.29079                   5.00000 
                      123                  10.54470                  73.36523                       102                        43                  29.33294                   8.66025 
                      124                  23.93060                  57.06309                        49                       102                 405.45118                  11.18034 
                      125                   8.45056                  34.08624                         2                       103                  27.03401                   7.07107 
                      126                  26.44564                  40.02391                         5                       104                2107.03127                  17.32051 
                      127                  15.63886                  47.84711                       104                         6                 273.24274                  11.18034 
                      128                   7.03946                  44.67136                       104                        88                  12.43695                   7.07107 
                      129                   6.90722                  85.91709                       105                         3                   7.16548                   7.07107 
                      130                  11.93163                  63.58407                       105                         4                  49.34133                   8.66025 
                      131                   9.29942                  78.83380                        96                       105                  19.09042                   7.07107 
                      132                   2.81141                  85.12963                        99                       105                   0.18078                   5.00000 
                      133                  11.57740                 113.17898                       106                        11                  31.30928                   8.66025 
                      134                  16.65494                  65.91554                       106                        17                 124.27702                  12.24745 
                      135                   3.50922                  77.52129                       106                        32                   0.30930                   5.00000 
                      136                   8.90292                  67.14002                       107                        37                  13.82982                   7.07107 
                      137                  22.46261                  46.62428                        47                       107                 969.38542                  16.58312 
                      138                  14.89275                  52.83193                       107                        86                 196.59486                  12.24745 
                      139                  19.85265                  30.88146                       107                       100                 719.05059                  14.14214 
                      140                  11.24726                  96.38528                       108                        36                   7.62880                   7.07107 
                      141                   6.04599                  54.02285                        77                       110                   1.31748                   5.00000 
                      142                   7.03871                  52.25760                       111                        74                  20.85813                   7.07107 
                      143                   8.38860                  55.44373                       111                        76                  20.35731                   8.66025 
                      144                   3.92568                  68.44411                        94                       111                   4.31420                   7.07107 
                      145                   4.71369                  57.38399                       112                         7                   0.75390                   5.00000 
                      146                   8.80517                  64.77019                        20                       112                  18.36730                   7.07107 
                      147                  12.13944                  42.09989                       112                        95                  89.76144                   8.66025 
                      148                   8.90989                  56.90497                        12                       113                   2.71632                   5.00000 
                      149                   5.46499                  56.37123                        13                       113                   5.28226                   7.07107 
                      150                   7.27773                  48.34983                        83                       113                   2.13296                   5.00000 
                      151                   4.60697                  82.78044                         1                       114                   0.49922                   5.00000 
                      152                   7.00059                  76.54343                        17                       114                  13.23256                   8.66025 
                      153                   6.07992                  78.34901                       114                       103                   7.23948                   7.07107 
                      154                   7.42813                  72.46319                       106                       114                   1.48261                   5.00000 
                      155                  15.95720                  27.36149                        40                       116                 294.92711                  11.18034 
                      156                   7.85328                  75.18138                       117                        38                   4.76832                   7.07107 
                      157                  10.02088                  58.50606                       117                        44                  20.57464                   7.07107 
                      158                  21.74944                  41.65947                        49                       118                 658.57485                  15.00000 
                      159                  22.34319                  43.21462                       102                       118                 924.68081                  17.32051 
                      160                   2.25146                  75.31926                       119                        54                   0.13104                   5.00000 
                      161                  14.07054                  68.41965                       119                        58                  75.59007                  10.00000 
                      162                   5.55363                  79.12310                       119                       108                   0.75899                   5.00000 
                      163                   3.77261                  28.69415                       120                        78                   0.96578                   5.00000 
                      164                   2.12916                  84.02260                       121                        62                   0.10505                   5.00000 
                      165                   3.27452                  83.08846                       121                        68                   2.47265                   7.07107 
                      166                  12.92342                  55.48519                       121                        75                  48.15609                   8.66025 
                      167                   7.65377                  87.73313                        33                       122                   9.62792                   7.07107 
                      168                   2.97880                  46.48747                       122                        84                   0.37165                   5.00000 
                      169                  20.12115                  55.16447                       122                       106                 299.43883                  14.14214 
                      170                  10.90123                  79.06495                       124                        46                   5.97061                   7.07107 
                      171                  11.34118                  71.42363                       124                        47                  13.48676                   7.07107 
                      172                   6.29104                  81.44691                        60                       124                  14.41755                   8.66025 
                      173                  10.07816                 114.80823                        66                       124                   7.24907                   8.66025 
                      174                  18.02439                  64.48776                       124                       107                 260.47487                  12.24745 
                      175                  19.48915                  65.89962                        64                       125                 254.26249                  14.14214 
                      176                   3.84134                  50.76911                       125                       109                   0.56591                   5.00000 
                      177                   7.72238                  71.23404                       126                        67                  12.07147                   7.07107 
                      178                  30.68377                  62.46075                        72                       126                 628.76768                  12.24745 
                      179                   3.67967                  64.41215                       127                        65                   0.40929                   5.00000 
                      180                   7.71441                  33.58771                        78                       127                  10.29906                   7.07107 
                      181                   9.72172                  67.96623                        14                       128                  13.86406                   7.07107 
                      182                   6.02791                  74.85889                        98                       128                   0.94510                   5.00000 
                      183                  11.16981                  74.88201                       128                       104                  53.48742                  11.18034 
                      184                   3.02547                  65.37390                       129                        97                   0.27263                   5.00000 
                      185                  11.62986                  84.39495                       130                        20                  18.44153                   7.07107 
                      186                   7.92454                  80.92965                       130                        85                  24.61424                  11.18034 
                      187                   8.23232                  77.86586                        86                       130                  16.35288                  10.00000 
                      188                   6.66378                  88.98543                        86                       132                   6.43932                   7.07107 
                      189                  17.56144                  49.44918                       132                       130                  66.32142                   8.66025 
                      190                  10.86104                  51.85096                       132                       131                  41.71184                  10.00000 
                      191                   9.85977                  36.97475                       133                        87                  63.50240                  11.18034 
                      192                   8.40630                  57.73780                        52                       134                  20.82766                   7.07107 
                      193                  14.62793                  61.71102                       135                        66                 100.42357                   8.66025 
                      194                   7.36737                  48.81440                       121                       135                   2.16502                   5.00000 
                      195                  11.12518                  54.54086                       136                         3                  17.82505                   7.07107 
                      196                  18.47371                  53.98709                        96                       136                 268.58416                  11.18034 
                      197                  12.55409                  46.02976                        95                       137                  47.94536                   7.07107 
                      198                   8.36280                  90.39343                       138                        15                  20.72819                  10.00000 
                      199                  13.42606                  67.85659                       138                        20                  84.28167                  11.18034 
                      200                  18.57222                  67.91368                        85                       138                 253.61966                  11.18034 
                      201                   2.61295                  90.43271                        86                       138                   3.09874                   7.07107 
                      202                   7.11098                  89.19952                        87                       138                  23.98291                  10.00000 
                      203                   3.82382                  60.83583                       138                        89                   0.46797                   5.00000 
                      204                  10.68797                  72.32614                        91                       138                 101.86735                  11.18034 
                      205                   8.90575                  73.52524                       130                       138                  23.96411                   8.66025 
                      206                  14.21610                  50.44767                        28                       139                 140.28946                  11.18034 
                      207                   5.84551                  53.33427                       132                       139                   1.24745                   5.00000 
                      208                   3.49983                  72.60046                       140                        34                   3.23268                   7.07107 
                      209                   6.26778                  89.91984                        35                       140                   0.85066                   5.00000 
                      210                   8.63030                  74.49589                        40                       140                   8.27053                   7.07107 
                      211                   2.76640                  84.02248                       140                        99                   0.17735                   5.00000 
                      212                   3.72410                  69.87985                       140                       116                   0.38644                   5.00000 
                      213                  10.14229                  67.10079                        65                       141                  18.37664                   7.07107 
                      214                  20.87800                  58.68778                       141                       119                 296.42046                  11.18034 
                      215                   7.93835                  75.50348                       142                        65                   4.85140                   7.07107 
                      216                  17.83324                  53.29884                        78                       142                 407.75472                  11.18034 
                      217                   7.04400                  36.15435                       142                       127                  14.54914                  10.00000 
                      218                   9.34397                  57.84943                       142                       141                  29.10421                   8.66025 
                      219                   6.17950                  91.17866                       143                        32                   3.46439                   7.07107 
                      220                  15.16021                  68.28483                       143                       106                  78.65199                  10.00000 
                      221                  10.15131                  74.02902                       117                       143                  22.21678                  10.00000 
                      222                  21.07300                  54.05601                       143                       122                 814.65506                  15.00000 
                      223                   7.97631                  72.69760                       144                        35                   5.08694                   7.07107 
                      224                  16.65128                  50.05261                        92                       144                 115.19324                  10.00000 
                      225                  22.09034                  51.25668                       144                       140                 255.27127                  10.00000 
                      226                  14.26947                  43.93559                       145                        40                 111.24178                  10.00000 
                      227                   9.63014                  44.64530                       145                       116                   4.04459                   5.00000 
                      228                  15.16168                  66.57895                       145                       140                  90.00614                  10.00000 
                      229                  16.19007                  52.80912                       145                       144                 242.41387                  11.18034 
                      230                   9.28744                 102.22750                       146                        52                  53.61825                  11.18034 
                      231                   5.38562                  67.84331                       146                        93                   4.26247                   7.07107 
                      232                   9.30274                  85.96004                       125                       146                   4.76142                   7.07107 
                      233                   6.88794                  61.47842                       148                        96                  18.76289                   8.66025 
                      234                  15.95176                  48.44024                        97                       148                 443.85718                  15.00000 
                      235                   6.20425                  47.02548                       151                       117                   6.77109                   7.07107 
                      236                  17.47046                  81.62188                       117                       152                 173.47162                  11.18034 
                      237                   2.72205                  88.26945                       140                       152                   0.16344                   5.00000 
                      238                  12.28176                  75.50780                       152                       143                  41.10254                  10.00000 
                      239                   3.20004                  71.06640                       152                       151                   0.28056                   5.00000 
                      240                   5.61306                  62.65723                       118                       153                   0.97907                   5.00000 
                      241                   8.84906                  52.07337                       153                       145                  17.61617                   7.07107 
                      242                   9.32630                  91.90137                       154                        36                  16.47074                   7.07107 
                      243                  10.14433                  69.26474                       154                        92                  26.25345                   7.07107 
                      244                   4.66809                  76.08001                       108                       154                   3.69595                   7.07107 
                      245                   2.00031                  47.63249                       123                       154                   0.16356                   5.00000 
